机型,网络,类型,版本,MD5,下载,大小,时间
魅蓝 E2,M/MY（移动定制）,稳定版 推荐,Flyme 6.3.0.3M,a77a3494c6c1610bf3425c473a99db2d,https://firmware.meizu.com/Firmware/Flyme/M2E/6.3.0.3/cmcc/20190320152912/3a99db2d/update.zip,1555MB,2019-03-25
魅蓝 E2,M/MY（移动定制）,稳定版 推荐,Flyme 6.2.0.2M,A287262B3DEEC030E7688B3FD6F7F5EA,https://firmware.meizu.com/Firmware/Flyme/M2E/6.2.0.2/cmcc/20171106171625/ydcqcb1b/update.zip,1451MB,2017-11-08
魅蓝 E2,M/MY（移动定制）,体验版,Flyme 6.7.9.26 beta,5A2C2D9EF0CFF390C6A5A9DE071E52BC,https://firmware.meizu.com/Firmware/Flyme/M2E/6.7.9.26/cn_beta/20170925171455/ydcqebc/update.zip,1436MB,2017-09-26
魅蓝 E2,M/MY（移动定制）,体验版,Flyme 6.7.7.1 beta,3F7B6E18D71E8D723AB84D61D5FED180,http://firmware.meizu.com/Firmware/Flyme/M2E/6.7.7.1/cn_beta/20171101104558/nwsi7d636/update.zip,1453MB,2017-07-01
魅蓝 E2,M/MY（移动定制）,出厂系统,Flyme 6.0.3.3MY,c82ffc7818bfcacc26e4cfb2ea17b506,https://firmware.meizu.com/Firmware/Flyme/M2E/6.0.3.3/cmcc/20170828175412/ea17b506/update.zip,1479MB,2017-09-19
魅蓝 5s,A（公开版）,稳定版 推荐,Flyme 6.3.0.3A,1533df3e4438e772e696e34a0a2c6010,https://firmware.meizu.com/Firmware/Flyme/m5s/6.3.0.3/cn/20190320170817/0a2c6010/update.zip,1291MB,2019-03-22
魅蓝 5s,A（公开版）,体验版,Flyme 7.8.7.24 beta,4596f50233d3bcf94131f960074bf0c1,https://firmware.meizu.com/Firmware/Flyme/m5s/7.8.7.24/cn_beta/20180724155315/074bf0c1/update.zip,1391MB,2018-07-26
魅蓝 5s,A（公开版）,体验版,Flyme 6.8.1.26 beta,d3d8f804c6b05057cd9b44a5c723c9e1,https://firmware.meizu.com/Firmware/Flyme/m5s/6.8.1.26/cn_beta/20180126120508/c723c9e1/update.zip,1274MB,2018-01-26
魅蓝 5s,A（公开版）,体验版,Flyme 6.7.8.22 beta,6c677826b496880891841870c6cb85d4,https://firmware.meizu.com/Firmware/Flyme/m5s/6.7.8.22/cn_beta/20170816023942/c6cb85d4/update.zip,1257MB,2017-08-22
魅蓝 5s,A（公开版）,体验版,Flyme 6.7.7.1 beta,b1d069571e50177dac3b5a51f41ad6ea,https://firmware.meizu.com/Firmware/Flyme/m5s/6.7.7.1/cn_beta/20170920094251/f41ad6ea/update.zip,1230MB,2017-07-01
