机型,网络,类型,版本,MD5,下载,大小,时间
PRO 5,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,736abd4e82f85cca9650fe8c6a9fae77,https://firmware.meizu.com/Firmware/Flyme/PRO_5/6.3.0.2/cn/20180328170230/6a9fae77/update.zip,1223MB,2018-04-12
PRO 5,U（联通版）,出厂系统,Flyme 5.1.1.0U,63301bececc0192f661150ce75ef7497,http://download.meizu.com/Firmware/Flyme/PRO_5/5.1.1.0/wo/20151127142219/75ef7497/update.zip,922MB,2015-12-17
魅蓝 2,A/Y（公开版）,稳定版 推荐,Flyme 6.3.0.3A,2dd0f8017b43a7afb42a94958cedc93c,https://firmware.meizu.com/Firmware/Flyme/m2/6.3.0.3/cn/20190306093057/8cedc93c/update.zip,1133MB,2019-03-13
魅蓝 2,A/Y（公开版）,体验版,Flyme 6.8.1.19 beta,73acfb6d926b2204f00cb5c0d0c33572,https://firmware.meizu.com/Firmware/Flyme/m2/6.8.1.19/cn_beta/20180119113907/d0c33572/update.zip,1118MB,2018-01-19
魅蓝 2,A/Y（公开版）,体验版,Flyme 6.7.8.22 beta,4fc313018464b1f00d19e20ebe4f6bee,https://firmware.meizu.com/Firmware/Flyme/m2/6.7.8.22/cn_beta/20170816145247/be4f6bee/update.zip,1100MB,2017-08-22
魅蓝 2,A/Y（公开版）,出厂系统,Flyme 4.5.4.1Y,f5958cb4fda01676768c69157b0bedaf,http://download.meizu.com/Firmware/Flyme/m2/4.5.4.1/pby/20151208195405/7b0bedaf/update.zip,894MB,2015-12-29
魅蓝 2,A/Y（公开版）,出厂系统,Flyme 4.5.4.2A,b1e2f2676eada4bd706a118feaf6f219,http://download.meizu.com/Firmware/Flyme/m2/4.5.4.2/cn/20151208190530/eaf6f219/update.zip,863MB,2015-12-22
魅蓝 2,Q/QY（电信版）,稳定版 推荐,Flyme 6.3.0.3Q,b9aae96f6161642961d54aad8b4fd942,https://firmware.meizu.com/Firmware/Flyme/m2/6.3.0.3/tel/20190306093236/8b4fd942/update.zip,1198MB,2019-03-13
魅蓝 2,Q/QY（电信版）,体验版,Flyme 6.8.1.19 beta,d8bf811558d987797190af31bdfcbfe4,https://firmware.meizu.com/Firmware/Flyme/m2/6.8.1.19/cn_beta/20180119125157/bdfcbfe4/update.zip,1183MB,2018-01-19
魅蓝 2,Q/QY（电信版）,体验版,Flyme 6.7.8.22 beta,342c483b9b8eb031531560b8bbd29ee1,https://firmware.meizu.com/Firmware/Flyme/m2/6.7.8.22/cn_beta/20170816145241/bbd29ee1/update.zip,1165MB,2017-08-22
魅蓝 2,Q/QY（电信版）,出厂系统,Flyme 4.5.4.1Q,01f1733a82fcfe88642ce6332b7821c0,http://download.meizu.com/Firmware/Flyme/m2/4.5.4.1/tel/20151208190833/2b7821c0/update.zip,924MB,2015-12-25
魅蓝 2,Q/QY（电信版）,出厂系统,Flyme 4.5.4.1QY,df60e43a4615db232e46fc00c0202e50,http://download.meizu.com/Firmware/Flyme/m2/4.5.4.1/pbytel/20151126112226/c0202e50/update.zip,960MB,2015-12-16
魅蓝 2,MY（移动定制）,稳定版 推荐,Flyme 6.3.0.3A,2dd0f8017b43a7afb42a94958cedc93c,https://firmware.meizu.com/Firmware/Flyme/m2/6.3.0.3/cn/20190306093057/8cedc93c/update.zip,1133MB,2019-03-13
魅蓝 2,MY（移动定制）,出厂系统,Flyme 4.5.4MY,cedda299314d6269a771a3e8c42d86a9,http://download.meizu.com/Firmware/Flyme/m2/4.5.4/pbyg3/20151116103542/c42d86a9/update.zip,946MB,2015-12-16
魅蓝 2,U（联通版）,稳定版 推荐,Flyme 6.3.0.3A,2dd0f8017b43a7afb42a94958cedc93c,https://firmware.meizu.com/Firmware/Flyme/m2/6.3.0.3/cn/20190306093057/8cedc93c/update.zip,1133MB,2019-03-13
魅蓝 2,U（联通版）,出厂系统,Flyme 4.5.4.2U,6fc9ce376ac33444db49424c76bce74c,http://download.meizu.com/Firmware/Flyme/m2/4.5.4.2/wo/20151208190559/76bce74c/update.zip,886MB,2015-12-22
魅蓝 2,C（移动版）,稳定版 推荐,Flyme 6.3.0.3A,2dd0f8017b43a7afb42a94958cedc93c,https://firmware.meizu.com/Firmware/Flyme/m2/6.3.0.3/cn/20190306093057/8cedc93c/update.zip,1133MB,2019-03-13
魅蓝 2,C（移动版）,出厂系统,Flyme 4.5.3.2C,57c31e104f05c03e26f3665c9b39942f,http://download.meizu.com/Firmware/Flyme/m2/4.5.3.2/pl/20150910150013/9b39942f/update.zip,880MB,2015-09-16
MX5,A（公开版）,体验版,Flyme 7.8.7.24 beta,72e6a343077d98a96a9ce541a1dde06d,https://firmware.meizu.com/Firmware/Flyme/MX5/7.8.7.24/cn_beta/20180724155124/a1dde06d/update.zip,1062MB,2018-07-26
MX5,A（公开版）,体验版,Flyme 6.8.1.23 beta,771c3b67908395eda936ebe93bc0be69,https://firmware.meizu.com/Firmware/Flyme/MX5/6.8.1.23/cn_beta/20180122163049/3bc0be69/update.zip,1173MB,2018-01-23
MX5,A（公开版）,体验版,Flyme 6.7.8.22 beta,8cb850a6e0c07432a1ecea409e96c96b,https://firmware.meizu.com/Firmware/Flyme/MX5/6.7.8.22/cn_beta/20170816094816/9e96c96b/update.zip,1159MB,2017-08-22
MX5,A（公开版）,稳定版 推荐,Flyme 6.3.0.2A,5013c454911173db3461cf15c9400d4f,https://firmware.meizu.com/Firmware/Flyme/MX5/6.3.0.2/cn/20180305154117/c9400d4f/update.zip,1184MB,2018-03-07
MX5,A（公开版）,稳定版 推荐,Flyme 6.3.0.0A,fac077ddb7fa27ba1a2ba81840961b1a,https://firmware.meizu.com/Firmware/Flyme/MX5/6.3.0.0/cn/20180129144322/40961b1a/update.zip,1141MB,2018-01-30
MX5,A（公开版）,出厂系统,Flyme 5.1.2.0A,593860e4b978a55698dc73e2d81214d7,http://download.meizu.com/Firmware/Flyme/MX5/5.1.2.0/cn/20151225160403/d81214d7/update.zip,971MB,2015-12-29
MX5,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,5013c454911173db3461cf15c9400d4f,https://firmware.meizu.com/Firmware/Flyme/MX5/6.3.0.2/cn/20180305154117/c9400d4f/update.zip,1184MB,2018-03-07
MX5,U（联通版）,出厂系统,Flyme 5.1.2.0U,40fe266cc1dda79aeb5c81f96f15d146,http://download.meizu.com/Firmware/Flyme/MX5/5.1.2.0/wo/20151225144807/6f15d146/update.zip,998MB,2015-12-29
MX5,C（移动版）,稳定版 推荐,Flyme 6.3.0.2A,5013c454911173db3461cf15c9400d4f,https://firmware.meizu.com/Firmware/Flyme/MX5/6.3.0.2/cn/20180305154117/c9400d4f/update.zip,1184MB,2018-03-07
MX5,C（移动版）,出厂系统,Flyme 4.5.2.4C,af1c573e52c7d1633be55e4df144e93c,http://download.meizu.com/Firmware/Flyme/MX5/4.5.2.4/pl/20150727184935/f144e93c/update.zip,870MB,2015-07-30
魅蓝 note2,A（公开版）,稳定版 推荐,Flyme 6.3.0.3A,3c42eac12b72017c0d85fa87411805d9,https://firmware.meizu.com/Firmware/Flyme/m2_note/6.3.0.3/cn/20190306093521/411805d9/update.zip,1163MB,2019-03-13
魅蓝 note2,A（公开版）,体验版,Flyme 7.8.7.24 beta,6a2611fba02b5fa18a6ea530e18d06f5,https://firmware.meizu.com/Firmware/Flyme/m2_note/7.8.7.24/cn_beta/20180724155411/e18d06f5/update.zip,1064MB,2018-07-26
魅蓝 note2,A（公开版）,体验版,Flyme 6.8.1.22 beta,4bd01d22b7e3ee4a221b2f0cc0e0e585,https://firmware.meizu.com/Firmware/Flyme/m2_note/6.8.1.22/cn_beta/20180122095838/c0e0e585/update.zip,1149MB,2018-01-22
魅蓝 note2,A（公开版）,体验版,Flyme 6.7.8.22 beta,a5a1eba4cf812de58da44f54f6bcb141,https://firmware.meizu.com/Firmware/Flyme/m2_note/6.7.8.22/cn_beta/20170816094836/f6bcb141/update.zip,1130MB,2017-08-22
魅蓝 note2,A（公开版）,出厂系统,Flyme 4.5.4.2A,e875b4c4ee01a89dbbdccea587c77493,http://download.meizu.com/Firmware/Flyme/m2_note/4.5.4.2/cn/20151209181755/87c77493/update.zip,888MB,2015-12-15
魅蓝 note2,Q（电信版）,稳定版 推荐,Flyme 6.3.0.3Q,627d03778d066227becab3f585af5d89,https://firmware.meizu.com/Firmware/Flyme/m2c_note/6.3.0.3/tel/20190625124312/85af5d89/update.zip,1183MB,2019-06-27
魅蓝 note2,Q（电信版）,体验版,Flyme 7.8.7.24 beta,a4ba554fe2e641eae9e553a313aeb6da,https://firmware.meizu.com/Firmware/Flyme/m2c_note/7.8.7.24/cn_beta/20180725105902/13aeb6da/update.zip,1296MB,2018-07-26
魅蓝 note2,Q（电信版）,体验版,Flyme 6.8.1.22 beta,ad82480eb1f5190c26f8ad0b6ed7db23,https://firmware.meizu.com/Firmware/Flyme/m2c_note/6.8.1.22/cn_beta/20180122095856/6ed7db23/update.zip,1168MB,2018-01-22
魅蓝 note2,Q（电信版）,体验版,Flyme 6.7.8.22 beta,ca7ff2e4bd8a43251d249484fe2c964a,https://firmware.meizu.com/Firmware/Flyme/m2c_note/6.7.8.22/cn_beta/20170816094851/fe2c964a/update.zip,1155MB,2017-08-22
魅蓝 note2,Q（电信版）,出厂系统,Flyme 4.5.0.5Q,9e68e33369f44d28b477ca0ba02986c4,http://download.meizu.com/Firmware/Flyme/m2c_note/4.5.0.5Q/tel/20151211144646/a02986c4/update.zip,953MB,2015-12-24
魅蓝 note2,U（联通版）,稳定版 推荐,Flyme 6.3.0.3A,3c42eac12b72017c0d85fa87411805d9,https://firmware.meizu.com/Firmware/Flyme/m2_note/6.3.0.3/cn/20190306093521/411805d9/update.zip,1163MB,2019-03-13
魅蓝 note2,U（联通版）,出厂系统,Flyme 4.5.4.2U,85b20407e9a0a3be4f1391dae73209d9,http://download.meizu.com/Firmware/Flyme/m2_note/4.5.4.2/wo/20151210092921/e73209d9/update.zip,915MB,2015-12-15
魅蓝 note2,M（移动定制）,稳定版 推荐,Flyme 6.3.0.3A,3c42eac12b72017c0d85fa87411805d9,https://firmware.meizu.com/Firmware/Flyme/m2_note/6.3.0.3/cn/20190306093521/411805d9/update.zip,1163MB,2019-03-13
魅蓝 note2,M（移动定制）,出厂系统,Flyme 4.5M,aea7898f47302f5714dc56e567ed417d,http://download.meizu.com/Firmware/Flyme/m2_note/4.5.4.2/cmcc/20151210144451/67ed417d/update.zip,921MB,2015-12-15
魅蓝,Y（公开版）,稳定版 推荐,Flyme 4.2.1.3Y,430d6c09095b736cf064af9e85a9dc67,http://download.meizu.com/Firmware/Flyme/m1/4.2.1.3/ali/20150914203632/85a9dc67/update.zip,798MB,2015-09-18
魅蓝,C（移动版）,稳定版 推荐,Flyme 4.2.1.3C,1c9f4aa3fe2ffb215d997e1b93ac40c8,http://download.meizu.com/Firmware/Flyme/m1/4.2.1.3/pl/20150914160905/93ac40c8/update.zip,779MB,2015-09-18
魅蓝 note,A（公开版）,稳定版 推荐,Flyme 6.3.0.2A,4d6fce9612fd7818849ad3c218e0dad4,https://firmware.meizu.com/Firmware/Flyme/m1_note/6.3.0.2/cn/20180305153745/18e0dad4/update.zip,1162MB,2018-03-07
魅蓝 note,A（公开版）,体验版,Flyme 6.8.1.19 beta,41fe23962fac47793afc85c617793f75,https://firmware.meizu.com/Firmware/Flyme/m1_note/6.8.1.19/cn_beta/20180119110231/17793f75/update.zip,1147MB,2018-01-19
魅蓝 note,A（公开版）,体验版,Flyme 6.7.8.22 beta,3d85f918ab9a9cdfc6005282118951b9,https://firmware.meizu.com/Firmware/Flyme/m1_note/6.7.8.22/cn_beta/20170816094916/118951b9/update.zip,1134MB,2017-08-22
魅蓝 note,A（公开版）,出厂系统,Flyme 4.2.0.5A,0badb66898fc2d7a7e95dcd0f7518a62,http://download.meizu.com/Firmware/Flyme/m1_note/4.2.0.5/cn/20150413200358/f7518a62/update.zip,751MB,2015-04-21
魅蓝 note,M（移动定制）,稳定版 推荐,Flyme 6.3.0.2A,4d6fce9612fd7818849ad3c218e0dad4,https://firmware.meizu.com/Firmware/Flyme/m1_note/6.3.0.2/cn/20180305153745/18e0dad4/update.zip,1162MB,2018-03-07
魅蓝 note,M（移动定制）,出厂系统,Flyme 4.2M,48c6088e6eca935f14c0bc6c61746475,http://download.meizu.com/Firmware/Flyme/m1_note/4.2/cmcc/20150507154711/61746475/update.zip,859MB,2015-05-08
魅蓝 note,Q（电信版）,稳定版 推荐,Flyme 4.2.0.5Q,b37a0dcde42689cdc93a88404e66da28,http://download.meizu.com/Firmware/Flyme/m1c_note/4.2.0.5/cn/201601051653/4e66da28/update.zip,881MB,2016-01-12
魅蓝 note,Q（电信版）,稳定版 推荐,Flyme 4.2.0.3Q,965d497875a840f4a2c1754591e49fed,http://download.meizu.com/Firmware/Flyme/m1c_note/4.2.0.3/cn/201505021030/91e49fed/update.zip,849MB,2015-05-12
魅蓝 note,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,4d6fce9612fd7818849ad3c218e0dad4,https://firmware.meizu.com/Firmware/Flyme/m1_note/6.3.0.2/cn/20180305153745/18e0dad4/update.zip,1162MB,2018-03-07
魅蓝 note,U（联通版）,出厂系统,Flyme 4.2.0.5U,5b86735480c956bc5672ef434c72cb1a,http://download.meizu.com/Firmware/Flyme/m1_note/4.2.0.5/wo/20150413200401/4c72cb1a/update.zip,786MB,2015-04-21
魅蓝 note,C（移动版）,稳定版 推荐,Flyme 6.3.0.2A,4d6fce9612fd7818849ad3c218e0dad4,https://firmware.meizu.com/Firmware/Flyme/m1_note/6.3.0.2/cn/20180305153745/18e0dad4/update.zip,1162MB,2018-03-07
魅蓝 note,C（移动版）,出厂系统,Flyme 4.2.0.5C,d029a2400e28b40bc01edea249438f29,http://download.meizu.com/Firmware/Flyme/m1_note/4.2.0.5/pl/20150413200427/49438f29/update.zip,737MB,2015-04-21
MX4 Pro,A（公开版）,稳定版 推荐,Flyme 6.3.0.2A,201ad5c26e7fa3dd26cf87c5d16e5a4f,https://firmware.meizu.com/Firmware/Flyme/MX4_Pro/6.3.0.2/cn/20180305163656/d16e5a4f/update.zip,1054MB,2018-03-07
MX4 Pro,A（公开版）,体验版,Flyme 6.8.1.25 beta,64434032ad87ccfffa9dab62352aa4a9,https://firmware.meizu.com/Firmware/Flyme/MX4_Pro/6.8.1.25/cn_beta/20180124172344/352aa4a9/update.zip,1044MB,2018-01-25
MX4 Pro,A（公开版）,体验版,Flyme 6.7.8.22 beta,71be43296b19e478003ebb02876e1abf,https://firmware.meizu.com/Firmware/Flyme/MX4_Pro/6.7.8.22/cn_beta/20170816094931/876e1abf/update.zip,1027MB,2017-08-22
MX4 Pro,A（公开版）,出厂系统,Flyme 4.2.8.2A,ea1d5bb6970427954be03d496df88ee9,http://download.meizu.com/Firmware/Flyme/MX4_Pro/4.2.8.2/cn/20150422223059/6df88ee9/update.zip,707MB,2015-04-28
MX4 Pro,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,201ad5c26e7fa3dd26cf87c5d16e5a4f,https://firmware.meizu.com/Firmware/Flyme/MX4_Pro/6.3.0.2/cn/20180305163656/d16e5a4f/update.zip,1054MB,2018-03-07
MX4 Pro,U（联通版）,出厂系统,Flyme 4.2.8.2U,ae9ab2fa70f2c4d1fed43ad011cbcf45,http://download.meizu.com/Firmware/Flyme/MX4_Pro/4.2.8.2/wo/20150423093940/11cbcf45/update.zip,737MB,2015-04-28
MX4 Pro,C（移动版）,稳定版 推荐,Flyme 6.3.0.2A,201ad5c26e7fa3dd26cf87c5d16e5a4f,https://firmware.meizu.com/Firmware/Flyme/MX4_Pro/6.3.0.2/cn/20180305163656/d16e5a4f/update.zip,1054MB,2018-03-07
MX4 Pro,C（移动版）,出厂系统,Flyme 4.2.8.2C,eabe29dfb31e1e1b343f7c6ee5e42f60,http://download.meizu.com/Firmware/Flyme/MX4_Pro/4.2.8.2/pl/20150423030715/e5e42f60/update.zip,707MB,2015-04-28
MX4,A（公开版）,稳定版 推荐,Flyme 6.3.0.2A,ea92f7c704953780419fc1dbe1d8ab22,https://firmware.meizu.com/Firmware/Flyme/MX4/6.3.0.2/cn/20180305154001/e1d8ab22/update.zip,1066MB,2018-03-07
MX4,A（公开版）,体验版,Flyme 6.8.1.23 beta,6bf60afef6b6e96fdc7d675e221fe386,https://firmware.meizu.com/Firmware/Flyme/MX4/6.8.1.23/cn_beta/20180122110533/221fe386/update.zip,1051MB,2018-01-23
MX4,A（公开版）,体验版,Flyme 6.7.8.22 beta,fe04aee361eb0ea7c4ccdba8f11dffc1,https://firmware.meizu.com/Firmware/Flyme/MX4/6.7.8.22/cn_beta/20170816094957/f11dffc1/update.zip,1042MB,2017-08-22
MX4,A（公开版）,出厂系统,Flyme 4.2.8.2A,d52d9ccb8cc94869aaf42dff09eb1341,http://download.meizu.com/Firmware/Flyme/MX4/4.2.8.2/cn/20150422020016/09eb1341/update.zip,777MB,2015-04-28
MX4,Y（公开版）,稳定版 推荐,Flyme 4.5.7Y,4ec9a1e56fe84ea3d8d8e48140652db2,http://download.meizu.com/Firmware/Flyme/MX4/4.5.7/ali/20151020193515/40652db2/update.zip,797MB,2015-10-27
MX4,Y（公开版）,体验版,Flyme 4.5.3.1Y,e2e6f2cbd15c63f6ec628507a7faa06e,http://download.meizu.com/Firmware/Flyme/MX4/4.5.3.1/ali/20150627040439/a7faa06e/update.zip,845MB,2015-06-30
MX4,Y（公开版）,体验版,Flyme 4.2.8Y,b47993033f64781e5fcf556b07a864dc,http://download.meizu.com/Firmware/Flyme/MX4/4.2.8/ali/20150331125212/07a864dc/update.zip,799MB,2015-04-07
MX4,Y（公开版）,出厂系统,Flyme 4.2.8.2Y,0b4f8405d2a3b7a603fa73a73b54b0b6,http://download.meizu.com/Firmware/Flyme/MX4/4.2.8.2/ali/20150423172506/3b54b0b6/update.zip,799MB,2015-04-28
MX4,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,ea92f7c704953780419fc1dbe1d8ab22,https://firmware.meizu.com/Firmware/Flyme/MX4/6.3.0.2/cn/20180305154001/e1d8ab22/update.zip,1066MB,2018-03-07
MX4,U（联通版）,出厂系统,Flyme 4.2.8.2U,f140239b02f7a3ead381918024fd9b88,http://download.meizu.com/Firmware/Flyme/MX4/4.2.8.2/wo/20150422020929/24fd9b88/update.zip,792MB,2015-04-28
MX4,C（移动版）,稳定版 推荐,Flyme 6.3.0.2A,ea92f7c704953780419fc1dbe1d8ab22,https://firmware.meizu.com/Firmware/Flyme/MX4/6.3.0.2/cn/20180305154001/e1d8ab22/update.zip,1066MB,2018-03-07
MX4,C（移动版）,出厂系统,Flyme 4.2.8.2C,eb0fae5eb64a99e99edb6bdac7169193,http://download.meizu.com/Firmware/Flyme/MX4/4.2.8.2/pl/20150422031106/c7169193/update.zip,777MB,2015-04-28
MX3,A（公开版）,稳定版 推荐,Flyme 5.1.9.0A,81a3733f1ff22a36d45a0dafaf25d830,http://firmware.meizu.com/Firmware/Flyme/MX3/5.1.9.0A/cn_beta/20160928175253/af25d830/update.bin,854MB,2016-09-30
MX3,A（公开版）,稳定版 推荐,Flyme 4.5.7.1A,6aacd7af2ef282390498ffde4c9fcd72,http://download.meizu.com/Firmware/Flyme/MX3/4.5.7.1/cn/20151221181342/4c9fcd72/update.bin,672MB,2015-12-23
MX3,A（公开版）,稳定版 推荐,Flyme 4.2.8.2A,6897bfbd5fbaa875b456d263eb2bf460,http://download.meizu.com/Firmware/Flyme/MX3/4.2.8.2/cn/20150422040832/eb2bf460/update.bin,641MB,2015-04-28
MX3,A（公开版）,稳定版 推荐,Flyme 3.7.3A,b35c90fb2e52f78bc419a122812e0f60,http://download.meizu.com/Firmware/Flyme/MX3/3.7.3/cn/20140909113158/812e0f60/update.bin,409MB,2014-09-09
MX3,A（公开版）,体验版,Flyme 5.6.9.14 beta,28834847964185d785c58f1fd2d0c464,http://firmware.meizu.com/Firmware/Flyme/MX3/5.6.9.14/cn_beta/20160913094830/d2d0c464/update.bin,842MB,2016-09-14
MX3,A（公开版）,体验版,Flyme 3.8.5A,f1e3a75b000a2cb75ba6999c6aa68900,http://download.meizu.com/Firmware/Flyme/MX3/3.8.5/cn/20141020172429/6aa68900/update.bin,427MB,2014-10-21
MX2,A（公开版）,稳定版 推荐,Flyme 4.5.7.1A,bfa842c30ee185e815f7b041fbb07546,http://download.meizu.com/Firmware/Flyme/MX2/4.5.7.1/cn/20151221183206/fbb07546/update.bin,617MB,2015-12-23
MX2,A（公开版）,稳定版 推荐,Flyme 4.5.7A,6908d0b4d877fb4a81370f50df1aad05,http://download.meizu.com/Firmware/Flyme/MX2/4.5.7/cn/20151021090108/df1aad05/update.bin,617MB,2015-10-27
MX2,A（公开版）,稳定版 推荐,Flyme 4.2.8.2A,606eea1cdf4bbf6a3b7639e226a1e3e5,http://download.meizu.com/Firmware/Flyme/MX2/4.2.8.2/cn/20150422051517/26a1e3e5/update.bin,587MB,2015-04-28
MX2,A（公开版）,稳定版 推荐,Flyme 4.1.3.5A,deea2eb365c19b325d37391c9907759e,http://download.meizu.com/Firmware/Flyme/MX2/4.1.3.5/cn/20150111042143/9907759e/update.bin,563MB,2015-01-13
MX2,A（公开版）,稳定版 推荐,Flyme 3.7.3A,7474a0569a14fab4af74179b65477db8,http://download.meizu.com/Firmware/Flyme/MX2/3.7.3/cn/20140909121344/65477db8/update.bin,381MB,2014-09-09
MX2,A（公开版）,稳定版 推荐,Flyme 2.5.2,81dacbd701703acc30710732e8d0afeb,http://download.meizu.com/Firmware/Flyme/MX2/2.5.2/cn/12328/e8d0afeb/update.bin,202MB,2014-05-08
MX2,A（公开版）,体验版,Flyme 4.5.5A,6fcc72ccce5e8f506b08637df6772265,http://download.meizu.com/Firmware/Flyme/MX2/4.5.5/cn/20150829091101/f6772265/update.bin,627MB,2015-09-01
MX2,A（公开版）,体验版,Flyme 4.2.8.1A,e517829a605ee39a2f16e311e40e0e3f,http://download.meizu.com/Firmware/Flyme/MX2/4.2.8.1/cn/20150411054758/e40e0e3f/update.bin,587MB,2015-04-14
MX2,A（公开版）,体验版,Flyme 3.8.5A,0d390bed27fdf07d17469fce3069fe13,http://download.meizu.com/Firmware/Flyme/MX2/3.8.5/cn/20141020181533/3069fe13/update.bin,396MB,2014-10-21
MX,A（公开版）,体验版,Flyme 2.5.3A,2fb619a4480db25c439b792cb9584fc7,http://download.meizu.com/Firmware/Flyme/MX/2.5.3/cn/12331/b9584fc7/update.bin,170MB,2014-05-18
MX,A（公开版）,体验版,Flyme 2.5A,7ff02209bf7231ef16979111f784cc71,http://download.meizu.com/Firmware/Flyme/MX/2.5/cn/12322/f784cc71/update.bin,170MB,2014-01-24
MX,A（公开版）,稳定版 推荐, Flyme 1.1.8,5ade4ca351b161e9152a92248ca0343a,http://download.meizu.com/Firmware/Flyme/1.1.8_9908/8ca0343a/MX/update.bin,117MB,2013-02-23
M9,A（公开版）,稳定版 推荐,Flyme 1.1.3,,http://download.meizu.com/Firmware/Flyme/1.1.3_9847/7991384b/M9/update.bin,96MB,2012-10-24
M8,A（公开版）,稳定版 推荐,V0.9.9.23,,http://download.meizu.com/Firmware/M8/xip_0.9.9.23.zip,76MB,2012-07-12
